cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_rua
430;2003;2003m04;Duque de Caxias;3301702;Baixada Fluminense;4
431;2003;2003m04;Duque de Caxias;3301702;Baixada Fluminense;7
432;2003;2003m04;São João de Meriti;3305109;Baixada Fluminense;59
433;2003;2003m04;"Magé;Guapimirim";9999982;Baixada Fluminense;8
434;2003;2003m04;Magé;3302502;Baixada Fluminense;7
435;2003;2003m04;"Itaboraí;Tanguá";9999983;Interior;28
436;2003;2003m04;São Gonçalo;3304904;Grande Niterói;62
437;2003;2003m04;São Gonçalo;3304904;Grande Niterói;20
438;2003;2003m04;São Gonçalo;3304904;Grande Niterói;64
439;2003;2003m04;São Gonçalo;3304904;Grande Niterói;14
440;2003;2003m04;Niterói;3303302;Grande Niterói;91
441;2003;2003m04;Niterói;3303302;Grande Niterói;51
442;2003;2003m04;Niterói;3303302;Grande Niterói;27
443;2003;2003m04;Niterói;3303302;Grande Niterói;10
444;2003;2003m04;Niterói;3303302;Grande Niterói;7
445;2003;2003m04;Maricá;3302700;Grande Niterói;17
